period,timeframe,strategy,ma_params,ma_short,ma_long,final_value,total_return_pct,max_drawdown_pct,sharpe_ratio,num_trades,win_rate_pct,avg_win_pct,avg_loss_pct,profit_factor,total_fees
Q1_2024_Bull,1h,trend_following,MA10/30,10.0,30.0,10836.18,8.362,-4.705,4.106,17,70.59,8.4,-3.015,2.928,47.95
Q1_2024_Bull,1h,trend_following,MA20/50,20.0,50.0,10990.15,9.902,-4.352,4.343,17,70.59,7.128,-3.182,3.174,52.2
Q1_2024_Bull,1h,trend_following,MA20/100,20.0,100.0,11278.21,12.782,-3.771,5.771,15,80.0,6.689,-3.572,7.602,40.77
Q1_2024_Bull,1h,trend_following,MA21/55,21.0,55.0,11059.82,10.598,-3.638,4.872,16,75.0,7.121,-3.082,4.112,43.86
Q1_2024_Bull,1h,trend_following,,,,12426.64,24.266,-9.994,4.379,38,57.89,9.468,-3.131,2.542,334.89
Q1_2024_Bull,4h,auto,MA9/21,9.0,21.0,10814.91,8.149,-2.246,4.959,7,71.43,12.191,-2.494,5.825,25.55
Q1_2024_Bull,4h,auto,MA10/30,10.0,30.0,10747.52,7.475,-2.735,4.45,7,85.71,10.273,-6.905,4.249,20.5
Q1_2024_Bull,4h,auto,MA20/50,20.0,50.0,10763.45,7.634,-3.314,4.41,9,77.78,9.021,-4.4,3.625,35.14
Q1_2024_Bull,4h,auto,MA20/100,20.0,100.0,11259.45,12.595,-1.211,8.352,6,100.0,11.993,0.0,999.0,12.49
Q1_2024_Bull,4h,auto,MA21/55,21.0,55.0,10716.74,7.167,-3.339,4.19,9,55.56,12.129,-2.016,3.644,35.19
Q1_2024_Bull,4h,mean_reversion,,,,10033.78,0.338,-0.025,2.489,1,100.0,1.164,0.0,999.0,5.03
Q1_2024_Bull,4h,mtf_trend,,,,10560.39,5.604,-3.066,3.913,6,83.33,14.334,-5.125,4.279,16.56
Q1_2024_Bull,4h,supertrend,,,,10399.79,3.998,-3.468,2.828,4,50.0,17.121,-2.448,3.402,15.43
Q1_2024_Bull,4h,trend_following,MA9/21,9.0,21.0,10856.47,8.565,-2.925,5.099,6,83.33,17.065,-6.905,4.707,15.73
Q1_2024_Bull,4h,trend_following,MA10/30,10.0,30.0,10539.84,5.398,-2.735,3.975,6,83.33,13.186,-6.905,3.345,15.34
Q1_2024_Bull,4h,trend_following,MA20/50,20.0,50.0,10666.78,6.668,-4.534,3.602,6,66.67,16.436,-6.281,2.61,20.29
Q1_2024_Bull,4h,trend_following,MA20/100,20.0,100.0,10753.61,7.536,-0.807,8.104,5,100.0,15.144,0.0,999.0,6.86
Q1_2024_Bull,4h,trend_following,MA21/55,21.0,55.0,10731.56,7.316,-4.567,3.993,6,66.67,16.436,-5.391,3.049,20.43
Q1_2024_Bull,1d,auto,MA9/21,9.0,21.0,10724.98,7.25,-0.609,11.022,2,100.0,21.887,0.0,999.0,5.55
Q1_2024_Bull,1d,auto,MA10/30,10.0,30.0,10678.54,6.785,-0.735,10.173,2,100.0,20.493,0.0,999.0,5.51
Q1_2024_Bull,1d,auto,MA20/50,20.0,50.0,10678.54,6.785,-0.735,10.173,2,100.0,20.493,0.0,999.0,5.51
Q1_2024_Bull,1d,auto,MA21/55,21.0,55.0,10687.9,6.879,-0.606,17.391,2,100.0,20.774,0.0,999.0,5.52
Q1_2024_Bull,1d,mean_reversion,,,,10000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Q1_2024_Bull,1d,mtf_trend,,,,10687.9,6.879,-0.606,17.391,2,100.0,20.774,0.0,999.0,5.52
Q1_2024_Bull,1d,supertrend,,,,10480.58,4.806,-0.781,11.649,1,100.0,14.492,0.0,999.0,5.36
Q1_2024_Bull,1d,trend_following,MA9/21,9.0,21.0,10724.98,7.25,-0.609,11.022,2,100.0,21.887,0.0,999.0,5.55
Q1_2024_Bull,1d,trend_following,MA10/30,10.0,30.0,10678.54,6.785,-0.735,10.173,2,100.0,20.493,0.0,999.0,5.51
Q1_2024_Bull,1d,trend_following,MA20/50,20.0,50.0,10678.54,6.785,-0.735,10.173,2,100.0,20.493,0.0,999.0,5.51
Q1_2024_Bull,1d,trend_following,MA21/55,21.0,55.0,10687.9,6.879,-0.606,17.391,2,100.0,20.774,0.0,999.0,5.52
Q2_2023_Sideways,15m,auto,MA9/21,9.0,21.0,9518.44,-4.816,-9.466,-1.928,211,46.45,0.677,-0.398,1.009,996.95
Q2_2023_Sideways,15m,auto,MA10/30,10.0,30.0,9460.11,-5.399,-10.35,-1.987,198,45.96,0.747,-0.481,0.951,897.43
Q2_2023_Sideways,15m,auto,MA20/50,20.0,50.0,8998.06,-10.019,-13.19,-3.636,211,45.5,0.703,-0.541,0.766,952.99
Q2_2023_Sideways,15m,auto,MA20/100,20.0,100.0,9667.28,-3.327,-11.228,-1.012,155,44.52,1.337,-0.663,1.014,723.95
Q2_2023_Sideways,15m,auto,MA21/55,21.0,55.0,9226.72,-7.733,-12.081,-2.759,211,49.29,0.695,-0.539,0.859,954.51
Q2_2023_Sideways,15m,auto,,,,7876.88,-21.231,-33.283,-3.327,295,34.24,1.555,-0.662,0.847,2770.56
Q2_2023_Sideways,15m,mean_reversion,,,,9064.91,-9.351,-9.402,-8.913,148,45.27,0.266,-0.309,0.413,704.92
Q2_2023_Sideways,15m,mtf_trend,,,,9979.71,-0.203,-3.28,-0.098,35,42.86,2.298,-1.444,1.041,81.97
Q2_2023_Sideways,15m,supertrend,,,,10552.89,5.529,-3.74,2.253,49,44.9,4.425,-1.428,1.796,132.26
Q2_2023_Sideways,15m,trend_following,MA9/21,9.0,21.0,10108.19,1.082,-5.468,0.411,36,58.33,4.453,-2.45,1.133,123.3
Q2_2023_Sideways,15m,trend_following,MA10/30,10.0,30.0,10304.38,3.044,-4.779,1.026,37,59.46,3.558,-2.483,1.301,131.11
Q2_2023_Sideways,15m,trend_following,MA20/50,20.0,50.0,10097.74,0.977,-6.826,0.383,39,58.97,4.597,-2.574,1.117,134.25
Q2_2023_Sideways,15m,trend_following,MA20/100,20.0,100.0,10328.15,3.282,-6.09,1.103,37,59.46,4.043,-2.215,1.336,128.35
Q2_2023_Sideways,15m,trend_following,MA21/55,21.0,55.0,10360.27,3.603,-6.843,1.188,36,58.33,4.213,-2.45,1.332,132.6
Q2_2023_Sideways,15m,trend_following,,,,9516.35,-4.836,-19.235,-0.531,91,37.36,4.317,-1.97,0.971,757.88
Q2_2023_Sideways,30m,auto,MA9/21,9.0,21.0,10269.46,2.695,-4.925,1.038,93,49.46,1.328,-0.563,1.469,443.23
Q2_2023_Sideways,30m,auto,MA10/30,10.0,30.0,10404.96,4.05,-5.442,1.406,96,50.0,1.632,-0.604,1.552,458.09
Q2_2023_Sideways,30m,auto,MA20/50,20.0,50.0,10065.86,0.659,-7.78,0.279,104,51.92,1.546,-0.851,1.204,481.97
Q2_2023_Sideways,30m,auto,MA20/100,20.0,100.0,10175.35,1.754,-8.583,0.593,80,47.5,2.195,-1.005,1.239,339.55
Q2_2023_Sideways,30m,auto,MA21/55,21.0,55.0,9956.17,-0.438,-9.793,-0.079,105,48.57,1.707,-0.88,1.117,470.79
Q2_2023_Sideways,30m,mean_reversion,,,,9690.27,-3.097,-3.276,-4.039,71,46.48,0.34,-0.262,0.677,348.47
Q2_2023_Sideways,30m,mtf_trend,,,,10017.15,0.171,-3.002,0.141,26,42.31,2.705,-1.464,1.132,55.95
Q2_2023_Sideways,30m,supertrend,,,,10141.43,1.414,-5.263,0.669,37,32.43,6.235,-1.752,1.24,92.33
Q2_2023_Sideways,30m,trend_following,MA9/21,9.0,21.0,10499.45,4.994,-6.094,1.591,30,60.0,7.117,-2.522,1.513,101.19
Q2_2023_Sideways,30m,trend_following,MA10/30,10.0,30.0,10236.07,2.361,-5.216,0.834,31,61.29,4.866,-2.332,1.304,103.3
Q2_2023_Sideways,30m,trend_following,MA20/50,20.0,50.0,10612.65,6.127,-5.316,1.888,29,62.07,4.517,-2.002,1.854,98.56
Q2_2023_Sideways,30m,trend_following,MA20/100,20.0,100.0,10287.68,2.877,-5.609,0.987,29,55.17,3.882,-1.888,1.435,90.79
Q2_2023_Sideways,30m,trend_following,MA21/55,21.0,55.0,10477.75,4.778,-6.036,1.543,28,53.57,4.288,-1.85,1.652,99.16
Q2_2023_Sideways,1h,auto,MA9/21,9.0,21.0,10002.63,0.026,-9.235,0.069,53,39.62,4.025,-1.123,1.095,247.28
Q2_2023_Sideways,1h,auto,MA10/30,10.0,30.0,10284.59,2.846,-6.874,0.948,48,45.83,3.134,-1.235,1.339,223.85
Q2_2023_Sideways,1h,auto,MA20/50,20.0,50.0,10079.28,0.793,-7.86,0.311,61,45.9,2.621,-1.331,1.147,282.42
Q2_2023_Sideways,1h,auto,MA20/100,20.0,100.0,10164.97,1.65,-6.681,0.573,48,58.33,3.304,-2.216,1.186,174.96
Q2_2023_Sideways,1h,auto,MA21/55,21.0,55.0,10171.37,1.714,-6.527,0.598,57,49.12,2.607,-1.424,1.213,250.03
Q2_2023_Sideways,1h,auto,,,,9281.16,-7.188,-16.17,-1.07,103,43.69,2.249,-1.198,0.889,908.8
Q2_2023_Sideways,1h,mean_reversion,,,,10058.78,0.588,-0.967,1.019,28,64.29,0.519,-0.337,1.934,141.46
Q2_2023_Sideways,1h,mtf_trend,,,,9620.25,-3.797,-5.747,-2.211,22,27.27,4.066,-1.554,0.405,64.06
Q2_2023_Sideways,1h,supertrend,,,,9807.24,-1.928,-9.943,-0.644,28,28.57,8.285,-2.328,0.848,81.19
Q2_2023_Sideways,1h,trend_following,MA9/21,9.0,21.0,10515.28,5.153,-5.271,1.601,25,64.0,7.509,-2.944,1.589,90.68
Q2_2023_Sideways,1h,trend_following,MA10/30,10.0,30.0,9948.74,-0.513,-6.957,-0.108,23,56.52,6.574,-2.426,0.985,77.38
Q2_2023_Sideways,1h,trend_following,MA20/50,20.0,50.0,9783.89,-2.161,-8.203,-0.668,20,45.0,8.131,-2.583,0.796,72.74
Q2_2023_Sideways,1h,trend_following,MA20/100,20.0,100.0,10025.32,0.253,-6.736,0.149,30,60.0,4.597,-2.626,1.083,75.84
Q2_2023_Sideways,1h,trend_following,MA21/55,21.0,55.0,10231.34,2.313,-4.483,0.849,22,63.64,5.782,-2.43,1.469,63.37
Q2_2023_Sideways,1h,trend_following,,,,9470.25,-5.297,-14.77,-0.7,46,34.78,4.515,-2.185,0.848,415.03
Q2_2023_Sideways,4h,auto,MA9/21,9.0,21.0,10446.83,4.468,-4.0,1.463,21,52.38,4.974,-1.668,1.793,90.18
Q2_2023_Sideways,4h,auto,MA10/30,10.0,30.0,10488.98,4.89,-3.37,1.578,22,59.09,3.947,-1.569,2.021,87.56
Q2_2023_Sideways,4h,auto,MA20/50,20.0,50.0,9647.33,-3.527,-8.0,-1.255,23,43.48,1.929,-1.894,0.604,81.44
Q2_2023_Sideways,4h,auto,MA20/100,20.0,100.0,9666.58,-3.334,-7.1,-1.259,25,44.0,1.91,-1.83,0.617,93.44
Q2_2023_Sideways,4h,auto,MA21/55,21.0,55.0,9973.31,-0.267,-4.891,-0.046,22,50.0,1.931,-1.313,1.017,72.73
Q2_2023_Sideways,4h,mean_reversion,,,,9876.47,-1.235,-1.572,-3.042,9,44.44,0.464,-0.846,0.336,44.6
