period,timeframe,strategy,ma_params,ma_short,ma_long,final_value,total_return_pct,max_drawdown_pct,sharpe_ratio,num_trades,win_rate_pct,avg_win_pct,avg_loss_pct,profit_factor,total_fees
H2_2024,1d,auto,MA20/100,20.0,100.0,11445.04,14.45,-3.236,4.383,4,100.0,29.324,0.0,999.0,11.8
H2_2024,1d,auto,MA21/55,21.0,55.0,11249.81,12.498,-3.236,2.858,7,85.71,20.656,-5.748,7.455,17.74
H2_2024,1d,mean_reversion,,,,10000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
H2_2024,1d,mtf_trend,,,,11352.98,13.53,-2.517,3.12,4,100.0,25.494,0.0,999.0,11.14
H2_2024,1d,supertrend,,,,10892.6,8.926,-2.726,2.261,6,66.67,34.94,-7.015,4.8,10.56
H2_2024,1d,trend_following,MA9/21,9.0,21.0,9961.34,-0.387,-3.97,-0.202,7,71.43,32.825,-5.382,0.904,7.39
H2_2024,1d,trend_following,MA10/30,10.0,30.0,11017.84,10.178,-3.97,2.378,7,71.43,34.758,-5.382,3.819,11.79
H2_2024,1d,trend_following,MA20/50,20.0,50.0,11466.95,14.67,-3.236,3.458,6,100.0,20.366,0.0,999.0,13.09
H2_2024,1d,trend_following,MA20/100,20.0,100.0,11445.04,14.45,-3.236,4.383,4,100.0,29.324,0.0,999.0,11.8
H2_2024,1d,trend_following,MA21/55,21.0,55.0,11453.53,14.535,-3.236,3.514,6,83.33,23.864,0.058,20151.473,13.06
2023_Full_Year,15m,auto,MA9/21,9.0,21.0,8228.87,-17.711,-23.264,-2.256,793,42.62,0.613,-0.303,1.007,3624.19
2023_Full_Year,15m,auto,MA10/30,10.0,30.0,8653.61,-13.464,-19.57,-1.506,766,42.3,0.695,-0.325,1.068,3454.53
2023_Full_Year,15m,auto,MA20/50,20.0,50.0,7859.5,-21.405,-25.145,-2.42,806,43.05,0.633,-0.352,0.929,3449.28
2023_Full_Year,15m,auto,MA20/100,20.0,100.0,8480.2,-15.198,-23.255,-1.469,623,38.52,1.024,-0.411,0.981,2811.34
2023_Full_Year,15m,auto,MA21/55,21.0,55.0,8243.42,-17.566,-22.274,-1.912,781,44.43,0.668,-0.35,0.985,3350.47
2023_Full_Year,15m,auto,,,,4750.25,-52.497,-63.589,-2.714,1236,30.74,1.796,-0.509,0.937,8826.88
2023_Full_Year,15m,mean_reversion,,,,7643.66,-23.563,-23.578,-9.194,561,42.07,0.236,-0.16,0.497,2444.1
2023_Full_Year,15m,mtf_trend,,,,11185.33,11.853,-4.681,1.856,121,45.45,3.657,-1.33,1.991,261.89
2023_Full_Year,15m,supertrend,,,,11455.01,14.55,-4.388,1.796,166,37.95,5.304,-1.215,1.682,439.38
2023_Full_Year,15m,trend_following,MA9/21,9.0,21.0,11125.85,11.259,-10.373,1.069,123,59.35,4.735,-2.015,1.377,441.12
2023_Full_Year,15m,trend_following,MA10/30,10.0,30.0,11575.32,15.753,-6.638,1.437,128,61.72,4.302,-2.012,1.525,454.2
2023_Full_Year,15m,trend_following,MA20/50,20.0,50.0,10945.0,9.45,-13.26,0.896,116,56.03,5.093,-2.085,1.299,443.15
2023_Full_Year,15m,trend_following,MA20/100,20.0,100.0,11019.92,10.199,-11.078,0.979,119,59.66,4.254,-2.122,1.353,414.89
2023_Full_Year,15m,trend_following,MA21/55,21.0,55.0,10975.21,9.752,-13.539,0.932,113,53.98,5.104,-2.045,1.307,434.71
2023_Full_Year,15m,trend_following,,,,12075.16,20.752,-31.966,0.786,371,36.39,6.375,-1.918,1.255,3159.54
2023_Full_Year,30m,auto,MA9/21,9.0,21.0,10758.92,7.589,-8.721,0.843,361,45.98,1.074,-0.452,1.467,1823.34
2023_Full_Year,30m,auto,MA10/30,10.0,30.0,10630.73,6.307,-9.778,0.667,366,43.72,1.337,-0.479,1.384,1842.09
2023_Full_Year,30m,auto,MA20/50,20.0,50.0,9693.46,-3.065,-17.249,-0.255,389,44.22,1.224,-0.555,1.136,1840.74
2023_Full_Year,30m,auto,MA20/100,20.0,100.0,10804.97,8.05,-13.438,0.757,298,45.97,1.92,-0.737,1.34,1400.53
2023_Full_Year,30m,auto,MA21/55,21.0,55.0,9851.39,-1.486,-17.807,-0.094,397,47.1,1.207,-0.592,1.17,1883.44
2023_Full_Year,30m,mean_reversion,,,,8949.43,-10.506,-11.098,-4.47,242,46.28,0.298,-0.233,0.626,1151.44
2023_Full_Year,30m,mtf_trend,,,,11186.9,11.869,-3.816,1.696,98,38.78,5.002,-1.467,1.871,239.37
2023_Full_Year,30m,supertrend,,,,11053.87,10.539,-6.171,1.353,133,36.84,5.742,-1.382,1.563,341.83
2023_Full_Year,30m,trend_following,MA9/21,9.0,21.0,11869.11,18.691,-11.123,1.635,105,61.9,5.565,-2.091,1.643,390.3
2023_Full_Year,30m,trend_following,MA10/30,10.0,30.0,11341.16,13.412,-8.718,1.259,110,61.82,4.579,-1.88,1.558,376.27
2023_Full_Year,30m,trend_following,MA20/50,20.0,50.0,12043.18,20.432,-10.321,1.688,90,53.33,6.026,-2.022,1.701,361.55
2023_Full_Year,30m,trend_following,MA20/100,20.0,100.0,12188.76,21.888,-10.724,1.867,97,59.79,4.441,-2.052,1.85,350.22
2023_Full_Year,30m,trend_following,MA21/55,21.0,55.0,12115.23,21.152,-11.337,1.766,95,53.68,5.395,-1.969,1.747,368.36
2023_Full_Year,1h,auto,MA9/21,9.0,21.0,10373.62,3.736,-15.648,0.419,218,39.45,2.446,-0.782,1.229,1036.44
2023_Full_Year,1h,auto,MA10/30,10.0,30.0,11322.63,13.226,-12.346,1.246,193,43.52,2.606,-0.868,1.49,972.63
2023_Full_Year,1h,auto,MA20/50,20.0,50.0,11068.6,10.686,-10.259,1.021,200,46.5,2.461,-1.014,1.385,978.65
2023_Full_Year,1h,auto,MA20/100,20.0,100.0,11965.04,19.65,-8.468,1.742,179,52.51,3.154,-1.149,1.667,803.73
2023_Full_Year,1h,auto,MA21/55,21.0,55.0,11445.54,14.455,-8.298,1.339,203,48.77,2.576,-1.047,1.472,972.18
2023_Full_Year,1h,auto,,,,10897.45,8.975,-36.249,0.447,347,39.48,4.763,-1.261,1.257,3192.65
2023_Full_Year,1h,mean_reversion,,,,9621.68,-3.783,-4.761,-1.765,113,53.1,0.419,-0.371,0.873,558.34
2023_Full_Year,1h,mtf_trend,,,,10730.79,7.308,-6.399,0.99,72,37.5,6.469,-1.572,1.497,227.6
2023_Full_Year,1h,supertrend,,,,10169.66,1.697,-12.921,0.245,98,30.61,8.226,-1.931,1.117,255.6
2023_Full_Year,1h,trend_following,MA9/21,9.0,21.0,11957.97,19.58,-10.538,1.634,81,54.32,8.559,-2.282,1.657,323.0
2023_Full_Year,1h,trend_following,MA10/30,10.0,30.0,11122.49,11.225,-12.403,1.012,82,51.22,7.646,-2.27,1.399,306.09
2023_Full_Year,1h,trend_following,MA20/50,20.0,50.0,11448.62,14.486,-10.918,1.284,70,55.71,6.973,-2.475,1.586,275.34
2023_Full_Year,1h,trend_following,MA20/100,20.0,100.0,11591.17,15.912,-12.019,1.487,81,62.96,5.208,-2.442,1.828,263.6
2023_Full_Year,1h,trend_following,MA21/55,21.0,55.0,11378.74,13.787,-9.514,1.311,73,61.64,6.309,-2.439,1.681,256.8
2023_Full_Year,1h,trend_following,,,,14322.81,43.228,-24.19,1.351,200,42.0,8.667,-2.234,1.543,1877.39
2023_Full_Year,4h,auto,MA9/21,9.0,21.0,12431.46,24.315,-8.652,2.101,71,53.52,6.549,-1.723,2.109,337.44
2023_Full_Year,4h,auto,MA10/30,10.0,30.0,12629.9,26.299,-7.373,2.258,74,59.46,5.323,-1.724,2.381,312.12
2023_Full_Year,4h,auto,MA20/50,20.0,50.0,11440.93,14.409,-9.205,1.414,81,58.02,4.143,-1.956,1.71,328.97
2023_Full_Year,4h,auto,MA20/100,20.0,100.0,11489.56,14.896,-7.252,1.438,66,51.52,4.85,-1.519,2.027,264.51
2023_Full_Year,4h,auto,MA21/55,21.0,55.0,11798.57,17.986,-6.312,1.742,81,55.56,4.416,-1.67,2.041,325.02
2023_Full_Year,4h,mean_reversion,,,,9588.28,-4.117,-4.408,-2.21,30,43.33,0.604,-0.936,0.397,146.85
2023_Full_Year,4h,mtf_trend,,,,11696.44,16.964,-8.619,1.832,36,44.44,11.01,-2.239,2.131,160.81
2023_Full_Year,4h,supertrend,,,,11868.93,18.689,-4.893,2.083,31,51.61,12.458,-3.226,2.368,111.96
2023_Full_Year,4h,trend_following,MA9/21,9.0,21.0,12690.05,26.901,-6.431,2.303,44,61.36,9.887,-2.516,2.744,178.15
2023_Full_Year,4h,trend_following,MA10/30,10.0,30.0,12546.12,25.461,-7.94,2.334,51,62.75,7.989,-2.49,2.982,163.21
2023_Full_Year,4h,trend_following,MA20/50,20.0,50.0,12110.38,21.104,-9.345,1.983,56,60.71,5.976,-2.364,2.698,174.05
2023_Full_Year,4h,trend_following,MA20/100,20.0,100.0,11033.45,10.334,-8.16,1.079,53,58.49,5.335,-2.153,1.93,170.1
2023_Full_Year,4h,trend_following,MA21/55,21.0,55.0,11782.26,17.823,-11.078,1.677,54,59.26,6.31,-2.56,2.199,176.76
2023_Full_Year,1d,auto,MA9/21,9.0,21.0,11151.86,11.519,-5.379,1.312,14,50.0,22.129,-2.813,2.764,46.78
2023_Full_Year,1d,auto,MA10/30,10.0,30.0,11570.07,15.701,-3.595,1.786,12,83.33,15.683,-5.814,5.338,28.59
2023_Full_Year,1d,auto,MA20/50,20.0,50.0,10657.25,6.572,-9.098,0.717,18,66.67,15.31,-6.579,1.573,46.28
2023_Full_Year,1d,auto,MA20/100,20.0,100.0,9428.48,-5.715,-8.67,-0.968,13,61.54,17.466,-5.498,0.343,30.69
2023_Full_Year,1d,auto,MA21/55,21.0,55.0,11294.7,12.947,-5.73,1.4,15,73.33,15.016,-4.663,3.087,42.88
2023_Full_Year,1d,auto,,,,17014.06,70.141,-13.976,3.305,21,66.67,41.945,-5.951,6.206,151.58
2023_Full_Year,1d,mean_reversion,,,,9972.61,-0.274,-0.274,-1.187,1,0.0,0.0,-0.672,0.0,4.98
2023_Full_Year,1d,mtf_trend,,,,11186.33,11.863,-7.854,1.356,9,55.56,30.848,-5.554,2.59,30.66
2023_Full_Year,1d,supertrend,,,,11581.48,15.815,-5.761,1.981,6,83.33,27.924,-7.292,7.196,16.51
2023_Full_Year,1d,trend_following,MA9/21,9.0,21.0,10185.35,1.854,-3.606,0.33,11,72.73,21.743,-4.706,1.434,21.31
2023_Full_Year,1d,trend_following,MA10/30,10.0,30.0,10113.75,1.138,-4.188,0.227,12,75.0,18.269,-6.709,1.247,22.47
2023_Full_Year,1d,trend_following,MA20/50,20.0,50.0,9257.93,-7.421,-9.303,-1.146,12,58.33,20.26,-6.117,0.248,25.61
2023_Full_Year,1d,trend_following,MA20/100,20.0,100.0,9617.2,-3.828,-6.842,-0.602,13,61.54,20.742,-5.498,0.568,29.85
2023_Full_Year,1d,trend_following,MA21/55,21.0,55.0,10018.37,0.184,-5.826,0.07,13,76.92,24.007,-7.462,1.039,22.44
2023_Full_Year,1d,trend_following,,,,16587.56,65.876,-16.556,3.108,19,68.42,44.227,-7.741,5.477,123.61
YTD_2025,15m,auto,MA9/21,9.0,21.0,5675.47,-43.245,-43.274,-5.68,1036,37.93,0.526,-0.332,0.646,3934.88
YTD_2025,15m,auto,MA10/30,10.0,30.0,6579.08,-34.209,-34.706,-3.814,988,38.36,0.64,-0.346,0.787,3901.86
YTD_2025,15m,auto,MA20/50,20.0,50.0,5734.04,-42.66,-44.412,-5.051,1066,40.15,0.563,-0.376,0.683,3993.03
YTD_2025,15m,auto,MA20/100,20.0,100.0,6482.0,-35.18,-36.556,-3.626,807,39.41,0.752,-0.469,0.714,3092.32
YTD_2025,15m,auto,MA21/55,21.0,55.0,5573.88,-44.261,-44.984,-5.196,1059,39.85,0.589,-0.412,0.655,3772.52
YTD_2025,15m,auto,,,,2212.98,-77.87,-81.363,-5.226,1377,31.23,1.399,-0.632,0.665,6926.91
YTD_2025,15m,mean_reversion,,,,6979.56,-30.204,-30.523,-10.743,698,37.54,0.249,-0.156,0.454,2957.88
YTD_2025,15m,mtf_trend,,,,9450.74,-5.493,-7.646,-0.988,112,31.25,2.737,-1.43,0.775,252.94
YTD_2025,15m,supertrend,,,,6820.71,-31.793,-36.377,-1.35,709,34.13,3.774,-1.542,0.852,2967.93
YTD_2025,15m,trend_following,MA9/21,9.0,21.0,10002.89,0.029,-10.834,0.057,195,62.05,2.999,-2.122,1.061,638.2
YTD_2025,15m,trend_following,MA10/30,10.0,30.0,9244.18,-7.558,-12.689,-0.547,196,58.16,2.911,-2.015,0.913,612.72
YTD_2025,15m,trend_following,MA20/50,20.0,50.0,9912.39,-0.876,-8.795,-0.021,172,58.14,2.86,-1.925,1.04,520.78
YTD_2025,15m,trend_following,MA20/100,20.0,100.0,9450.04,-5.5,-10.871,-0.429,184,57.61,2.558,-1.989,0.927,494.33
YTD_2025,15m,trend_following,MA21/55,21.0,55.0,9698.11,-3.019,-10.794,-0.204,168,57.74,2.875,-1.938,0.988,503.17
YTD_2025,15m,trend_following,,,,6109.81,-38.902,-49.198,-1.45,419,30.79,4.977,-1.967,0.791,2454.77
YTD_2025,30m,auto,MA9/21,9.0,21.0,7273.54,-27.265,-28.549,-3.086,548,38.69,0.752,-0.502,0.708,2267.81
YTD_2025,30m,auto,MA10/30,10.0,30.0,7569.66,-24.303,-27.259,-2.474,537,37.24,0.922,-0.54,0.78,2245.69
YTD_2025,30m,auto,MA20/50,20.0,50.0,6537.7,-34.623,-35.943,-3.804,557,40.57,0.808,-0.642,0.612,2100.8
YTD_2025,30m,auto,MA20/100,20.0,100.0,7085.79,-29.142,-30.946,-2.926,427,42.62,1.094,-0.881,0.636,1539.11
YTD_2025,30m,auto,MA21/55,21.0,55.0,6477.9,-35.221,-36.131,-3.81,530,40.57,0.936,-0.724,0.602,1925.92
YTD_2025,30m,mean_reversion,,,,8388.74,-16.113,-16.261,-5.547,330,37.58,0.344,-0.222,0.546,1515.64
YTD_2025,30m,mtf_trend,,,,9619.47,-3.805,-5.573,-0.677,91,35.16,2.847,-1.544,0.848,229.29
YTD_2025,30m,supertrend,,,,9397.13,-6.029,-9.294,-0.654,166,33.73,2.983,-1.46,0.861,416.49
YTD_2025,30m,trend_following,MA9/21,9.0,21.0,9666.27,-3.337,-12.156,-0.2,156,55.77,3.212,-2.03,0.983,521.76
YTD_2025,30m,trend_following,MA10/30,10.0,30.0,9156.65,-8.434,-12.698,-0.624,157,54.14,2.946,-2.021,0.87,512.67
YTD_2025,30m,trend_following,MA20/50,20.0,50.0,9102.74,-8.973,-12.988,-0.773,142,54.93,2.869,-2.195,0.818,404.03
YTD_2025,30m,trend_following,MA20/100,20.0,100.0,8865.8,-11.342,-13.745,-1.038,158,53.8,2.067,-2.158,0.745,396.68
YTD_2025,30m,trend_following,MA21/55,21.0,55.0,9257.06,-7.429,-10.989,-0.623,144,54.86,2.592,-2.148,0.853,407.82
YTD_2025,1h,auto,MA9/21,9.0,21.0,7305.82,-26.942,-27.84,-2.909,252,37.7,1.31,-0.872,0.64,2079.97
YTD_2025,1h,auto,MA10/30,10.0,30.0,7299.48,-27.005,-27.942,-2.792,239,38.49,1.425,-0.996,0.637,1948.99
YTD_2025,1h,auto,MA20/50,20.0,50.0,7153.14,-28.469,-30.092,-2.861,289,37.72,1.653,-0.978,0.669,2140.21
YTD_2025,1h,auto,MA20/100,20.0,100.0,7199.69,-28.003,-30.001,-2.728,241,39.42,1.635,-1.164,0.572,1600.81
YTD_2025,1h,auto,MA21/55,21.0,55.0,7090.72,-29.093,-30.456,-2.966,262,38.17,1.573,-1.049,0.614,1900.63
YTD_2025,1h,auto,,,,7193.03,-28.07,-38.01,-0.983,344,39.83,3.872,-1.693,0.877,2897.67
YTD_2025,1h,mean_reversion,,,,8908.91,-10.911,-10.952,-4.187,121,36.36,0.534,-0.283,0.511,1148.21
YTD_2025,1h,mtf_trend,,,,9592.0,-4.08,-6.87,-0.614,74,35.14,2.974,-1.713,0.825,225.46
YTD_2025,1h,supertrend,,,,8742.53,-12.575,-15.486,-1.38,116,33.62,2.794,-1.737,0.651,618.63
YTD_2025,1h,trend_following,MA9/21,9.0,21.0,8232.73,-17.673,-20.494,-1.49,119,49.58,3.293,-2.357,0.684,809.39
YTD_2025,1h,trend_following,MA10/30,10.0,30.0,8286.83,-17.132,-19.583,-1.44,109,47.71,3.499,-2.325,0.683,773.77
YTD_2025,1h,trend_following,MA20/50,20.0,50.0,8894.56,-11.054,-15.4,-0.954,113,48.67,3.041,-2.296,0.781,673.96
YTD_2025,1h,trend_following,MA20/100,20.0,100.0,9218.83,-7.812,-11.263,-0.66,132,53.79,2.44,-2.235,0.86,677.84
YTD_2025,1h,trend_following,MA21/55,21.0,55.0,8983.24,-10.168,-14.585,-0.862,119,51.26,3.056,-2.376,0.811,677.96
YTD_2025,1h,trend_following,,,,8355.38,-16.446,-33.704,-0.447,243,34.16,6.981,-2.422,0.947,2041.09
YTD_2025,4h,auto,MA9/21,9.0,21.0,8303.46,-16.965,-19.619,-1.816,98,35.71,2.351,-1.706,0.527,359.89
YTD_2025,4h,auto,MA10/30,10.0,30.0,8815.18,-11.848,-15.376,-1.163,101,46.53,1.7,-1.758,0.652,377.04
YTD_2025,4h,auto,MA20/50,20.0,50.0,9932.84,-0.672,-7.989,-0.031,98,53.06,1.943,-1.504,1.051,334.29
YTD_2025,4h,auto,MA20/100,20.0,100.0,9260.29,-7.397,-12.416,-0.772,87,49.43,2.41,-2.315,0.736,237.28
YTD_2025,4h,auto,MA21/55,21.0,55.0,9558.86,-4.411,-11.994,-0.417,97,53.61,1.867,-1.93,0.875,318.24
YTD_2025,4h,mean_reversion,,,,9582.51,-4.175,-4.175,-2.043,32,37.5,0.551,-0.728,0.353,155.81
YTD_2025,4h,mtf_trend,,,,9909.89,-0.901,-7.326,-0.073,36,38.89,3.573,-2.334,0.997,171.76
YTD_2025,4h,supertrend,,,,9783.59,-2.164,-8.324,-0.213,31,41.94,4.374,-2.638,0.883,123.79
YTD_2025,4h,trend_following,MA9/21,9.0,21.0,8446.99,-15.53,-16.038,-1.557,62,50.0,3.72,-3.269,0.52,202.56
YTD_2025,4h,trend_following,MA10/30,10.0,30.0,8711.7,-12.883,-15.234,-1.332,63,50.79,3.497,-3.075,0.558,201.17
YTD_2025,4h,trend_following,MA20/50,20.0,50.0,9446.38,-5.536,-6.902,-0.721,61,55.74,3.414,-2.763,0.682,138.05
YTD_2025,4h,trend_following,MA20/100,20.0,100.0,8711.01,-12.89,-13.459,-1.612,76,52.63,2.834,-3.072,0.421,156.35
YTD_2025,4h,trend_following,MA21/55,21.0,55.0,9267.48,-7.325,-8.665,-0.944,65,56.92,3.181,-2.803,0.609,144.84
YTD_2025,1d,auto,MA9/21,9.0,21.0,10257.6,2.576,-7.142,0.376,21,66.67,7.09,-3.726,1.323,59.39
YTD_2025,1d,auto,MA10/30,10.0,30.0,10408.82,4.088,-5.732,0.596,19,84.21,3.464,-6.166,2.158,52.21
YTD_2025,1d,auto,MA20/50,20.0,50.0,10064.03,0.64,-7.96,0.118,18,72.22,3.952,-5.34,1.144,56.83
YTD_2025,1d,auto,MA20/100,20.0,100.0,10008.96,0.09,-7.727,0.047,18,77.78,5.636,-7.778,1.05,41.05
YTD_2025,1d,auto,MA21/55,21.0,55.0,10373.92,3.739,-5.84,0.524,16,75.0,5.781,-5.844,1.715,45.88
YTD_2025,1d,auto,,,,9094.66,-9.053,-22.431,-0.297,17,41.18,23.084,-7.282,0.668,129.43
YTD_2025,1d,mean_reversion,,,,10379.99,3.8,-0.1,1.555,4,100.0,3.13,0.0,999.0,40.89
YTD_2025,1d,mtf_trend,,,,9518.8,-4.812,-9.423,-0.744,8,37.5,9.415,-5.62,0.515,34.94
YTD_2025,1d,supertrend,,,,9081.69,-9.183,-11.661,-0.753,10,40.0,11.758,-10.309,0.378,57.86
YTD_2025,1d,trend_following,MA9/21,9.0,21.0,9843.76,-1.562,-9.824,-0.192,18,61.11,7.76,-7.297,0.877,40.86
YTD_2025,1d,trend_following,MA10/30,10.0,30.0,10122.61,1.226,-6.509,0.205,19,73.68,3.538,-7.237,1.272,41.28
YTD_2025,1d,trend_following,MA20/50,20.0,50.0,10418.3,4.183,-5.533,0.592,16,75.0,4.797,-6.311,2.281,36.59
YTD_2025,1d,trend_following,MA20/100,20.0,100.0,10199.18,1.992,-5.973,0.335,17,82.35,5.636,-8.555,1.538,36.27
YTD_2025,1d,trend_following,MA21/55,21.0,55.0,10426.12,4.261,-5.462,0.589,16,75.0,4.835,-6.311,2.304,36.6
YTD_2025,1d,trend_following,,,,8739.59,-12.604,-25.459,-0.479,18,38.89,23.084,-8.333,0.586,128.9
